# 武英殿刻本 同文書局本 標點整理本
㘅	488:17	211:27	140:16
㘆	488:18	211:28	140:17
㘇	489:7	211:38	140:27
㘈	489:15	212:4	140:35
㘉	490:11	212:21	141:11
㘊	490:18	212:28	141:18
㘋	490:20	212:30	141:20
㘌	491:1	212:33	141:23
㘍	491:4	212:36	141:26
㘐	492:16	213:20	142:16
㘑	492:18	213:22	142:18
㘓	494:7	214:6	143:5
㘕	495:11	214:19	143:17
㘖	495:17	214:25	143:23
㘙	498:5	215:23	144:23
㘛	498:21	216:7	145:12
㘜	498:25	216:11	145:16
㘝	499:6	216:19	148:8
㘞	338:8	146:15	75:9
㘠	503:8	217:29	149:25
㘡	503:10	217:31	149:27
㘢	504:1	218:5	150:1
㘣	505:6	218:17	150:13
㘤	509:8	220:16	152:8
㘥	511:11	221:16	153:5
㘦	521:6	223:8	155:7
㘧	525:2	225:2	157:2
㘨	525:5	225:5	157:5
㘩	525:11	225:11	157:11
㘪	527:8	226:8	158:4
㘫	3792:34	1590:131	176:17
㘬	3792:40	1591:1	176:23
㘱	528:5	226:23	158:17
㘲	529:2	226:36	158:29
㘳	530:9	227:23	159:15
㘶	531:15	228:6	160:6
㘷	533:2	228:23	160:19
㘸	533:8	228:29	160:25
㘹	3792:45	1591:6	176:28
㘺	3792:55	1591:16	176:38
㘿	533:9	228:30	160:26
㙀	533:13	229:2	161:3
㙁	534:11	229:14	161:14
㙂	536:10	230:10	162:10
㙃	536:11	230:11	162:11
㙄	3714:20	1549:4	175:30
㙅	3714:21	1549:5	175:31
㙇	537:1	230:21	162:18
㙈	537:4	230:24	162:21
㙉	537:7	230:27	162:24
㙊	538:5	231:1	163:5
㙎	543:6	233:10	165:13
㙏	543:13	233:17	165:20
㙐	544:2	233:23	165:26
㙑	546:5	234:13	166:17
㙒	547:4	234:20	166:24
㙓	3714:25	1549:9	175:35
㙔	3714:31	1549:15	175:41
㙕	3793:17	1591:42	176:64
㙙	547:13	234:29	167:9
㙚	547:16	235:3	167:12
㙛	548:11	235:19	167:28
㙝	550:2	236:11	168:13
㙞	550:4	236:13	168:15
㙠	551:23	237:1	169:4
㙡	552:1	237:4	169:7
㙢	552:4	237:7	169:10
㙣	553:1	237:19	169:22
㙤	553:5	237:23	169:26
㙥	554:17	238:19	170:19
㙧	554:19	238:21	170:21
㙨	555:3	238:24	170:24
㙩	555:6	238:27	170:27
㙪	555:9	238:30	171:1
㙫	557:6	239:9	171:20
㙬	557:14	239:17	171:28
㙰	558:15	240:7	172:15
㙱	558:17	240:9	172:17
㙲	559:9	240:19	172:27
㙳	559:10	240:20	172:28
㙴	560:1	240:23	173:1
㙵	560:7	240:29	173:7
㙶	560:8	240:30	173:8
㙷	560:10	240:32	173:10
㙸	561:2	241:2	173:14
㙹	561:15	241:15	173:27
㙺	561:16	241:16	173:28
㙻	562:6	241:22	173:34
㙼	3793:53	1591:78	177:21
㙾	563:11	242:11	174:16
㚀	563:15	242:15	174:20
㚁	564:16	242:35	175:11
㚂	564:17	242:36	175:12
㚃	567:4	243:16	178:3
㚅	570:1	244:24	179:23
㚆	579:2	245:8	180:8
㚇	579:3	245:10	180:9
㚉	584:2	247:2	182:3
㚊	584:14	247:14	182:15
㚋	585:5	247:21	182:22
㚌	585:7	247:23	183:1
㚍	585:10	247:26	183:4
㚏	590:3	249:12	185:3
㚐	3794:41	1592:23	190:26
㚒	592:2	250:12	185:18
㚓	592:4	250:14	185:20
㚔	592:14	250:24	186:6
㚕	592:15	250:25	186:7
㚖	592:18	250:28	186:10
㚗	593:1	250:29	186:11
㚘	593:2	250:30	186:12
㚙	3795:5	1592:34	190:37
㚚	594:8	251:14	186:25
㚜	597:11	252:21	188:11
㚝	597:19	253:4	188:19
㚞	3716:33	1550:15	190:7
㚟	598:1	253:6	188:21
㚠	598:11	253:16	188:31
㚡	3713:24	1548:60	146:7
㚢	602:4	255:1	191:4
㚣	603:1	255:6	191:9
㚤	603:5	255:10	191:13
㚥	603:12	255:20	191:20
㚦	604:4	256:3	192:3
㚧	604:5	256:4	192:4
㚩	605:4	256:11	192:11
㚪	605:6	256:13	192:13
㚫	606:4	256:25	192:24
㚬	607:2	257:5	193:9
㚭	3717:16	1550:37	212:13
㚮	3795:28	1592:57	213:31
㚰	607:8	257:11	193:15
㚱	608:5	257:26	193:30
㚲	608:15	257:38	194:3
㚳	609:2	257:41	194:6
㚴	609:8	258:6	194:12
㚵	609:10	258:8	194:14
㚶	609:12	258:10	194:16
㚷	609:14	258:12	194:18
㚸	611:1	259:1	195:3
㚹	612:2	259:9	195:8
㚺	612:4	259:11	195:10
㚻	612:8	259:15	195:14
㚼	3717:24	1550:45	212:21
㚽	3717:22	1550:43	212:19
㚾	3717:27	1550:48	212:24
㛁	3717:20	1550:41	212:17
㛂	613:7	260:3	196:5
㛃	614:6	260:14	196:14
㛄	614:8	260:16	196:16
㛅	615:14	261:5	197:6
㛆	617:3	261:27	197:25
㛍	617:10	261:34	198:5
㛎	617:11	261:35	198:6
㛏	617:15	261:39	198:10
㛐	618:7	262:5	198:17
㛑	618:13	262:11	198:23
㛒	618:14	262:12	198:24
㛓	619:5	262:20	198:32
㛔	619:7	262:22	198:34
㛕	619:9	262:24	199:1
㛖	619:10	262:25	199:2
㛗	619:13	262:28	199:5
㛘	620:2	262:30	199:7
㛙	620:3	262:31	199:8
㛚	620:4	262:32	199:9
㛛	620:7	263:2	199:12
㛜	620:8	263:3	199:13
㛝	621:7	263:23	199:32
㛞	3717:39	1550:60	212:36
㛥	621:12	263:28	199:37
㛦	622:8	263:41	200:11
㛧	622:9	263:42	200:12
㛨	623:9	264:9	200:27
㛩	623:10	264:10	200:28
㛪	624:14	264:32	201:18
㛫	626:6	265:21	202:6
㛬	626:9	265:24	202:9
㛭	626:13	265:28	202:13
㛮	627:4	266:2	202:20
